NULL,2,4,Engineering Chemistry Lab,1.5
NULL,2,4,English Language and Communication Skills Lab,1
NULL,2,4,Basic Electrical Engineering Lab,1
NULL,2,4,Mathematics - II,4
NULL,2,4,Chemistry,4
NULL,2,4,Basic Electrical Engineering,3
NULL,2,4,English,2
NULL,3,4,Basic Simulation Lab,1
NULL,3,4,Digital System Design Lab,1
NULL,3,4,Electronic Devices and Circuits Lab,1
NULL,3,4,Constitution of India,0
NULL,3,4,Digital System Design,4
NULL,3,4,Electronic Devices and Circuits,4
NULL,3,4,Network Analysis and Transmission Lines,3
NULL,3,4,Probability Theory and Stochastic Processes,3
NULL,3,4,Signals and Systems,4
NULL,4,4,Analog and Digital Communications Lab,1.5
NULL,4,4,Electronic Circuit Analysis Lab,1
NULL,4,4,IC Applications Lab,1.5
NULL,4,4,Gender Sensitization Lab,0
NULL,4,4,Analog and Digital Communications,4
NULL,4,4,Electromagnetic Fields and Waves,3
NULL,4,4,Electronic Circuit Analysis,3
NULL,4,4,"Laplace Transforms, Numerical Methods & Complex Variables",4
NULL,4,4,Linear IC Applications,3
NULL,5,4,Advanced Communication Skills Lab,1
NULL,5,4,Data Communications and Networks Lab,1.5
NULL,5,4,Microprocessors & Microcontrollers Lab,1.5
NULL,5,4,Intellectual Property Rights,0
NULL,5,4,Cyber Security,0
NULL,5,4,Business Economics & Financial Analysis,3
NULL,5,4,Control Systems,4
NULL,5,4,Data Communications and Networks,4
NULL,5,4,Professional Elective - I,3
NULL,5,4,Microprocessors & Microcontrollers,4
NULL,6,4,Digital Signal Processing Lab,1.5
NULL,6,4,e - CAD Lab,1.5
NULL,6,4,Scripting Languages Lab,1
NULL,6,4,Artificial Intelligence,0
NULL,6,4,Antennas and Propagation,4
NULL,6,4,Digital Signal Processing,4
NULL,6,4,Professional Elective - II,3
NULL,6,4,VLSI Design,4
NULL,6,4,Open Elective - I,3
NULL,7,4,Microwave and Optical Communications,3
NULL,7,4,Professional Elective — III,3
NULL,7,4,Professional Elective — IV,3
NULL,7,4,Open Elective - II,3
NULL,7,4,"Professional Practice, Law & Ethics",2
NULL,7,4,Microwave and Optical Communications Lab,1
NULL,7,4,Industrial Oriented Mini Project/ Summer Internship,2
NULL,7,4,Seminar,1
NULL,7,4,Project Stage - 1,3
NULL,8,4,Professional Elective — V,3
NULL,8,4,Professional Elective — VI,3
NULL,8,4,Open Elective - III,3
NULL,8,4,Project Stage - II,7
NULL,1,5,Engineering Workshop,2.5
NULL,1,5,Engineering Chemistry Lab,1.5
NULL,1,5,English Language and Communication Skills Lab,1
NULL,1,5,Basic Electrical Engineering Lab,1
NULL,1,5,Mathematics - I,4
NULL,1,5,Chemistry,4
NULL,1,5,Basic Electrical Engineering,3
NULL,1,5,English,2
NULL,2,5,Applied Physics Lab,1.5
NULL,2,5,Programming for Problem Solving Lab,1.5
NULL,2,5,Environmental Science,0
NULL,2,5,Mathematics - II,4
NULL,2,5,Applied Physics,4
NULL,2,5,Programming for Problem Solving,4
NULL,2,5,Engineering Graphics,3
NULL,3,5,Analog and Digital Electronics Lab,1
NULL,3,5,C++ Programming Lab,1
NULL,3,5,Data Structures Lab,1.5
NULL,3,5,IT Workshop Lab,1.5
NULL,3,5,Gender Sensitization Lab,0
NULL,3,5,Analog and Digital Electronics,3
NULL,3,5,Computer Organization and Architecture,3
NULL,3,5,Computer Oriented Statistical Methods,4
NULL,3,5,Data Structures,4
NULL,3,5,Object Oriented Programming using C++,2
NULL,4,5,Database Management Systems Lab,1.5
NULL,4,5,Java Programming Lab,1
NULL,4,5,Operating Systems Lab,1.5
NULL,4,5,Constitution of India,0
NULL,4,5,Business Economics & Financial Analysis,3
NULL,4,5,Database Management Systems,4
NULL,4,5,Discrete Mathematics,3
NULL,4,5,Java Programming,4
NULL,4,5,Operating Systems,3
NULL,5,5,Advanced Communication Skills Lab,1
NULL,5,5,Computer Networks & Web Technologies Lab,1.5
NULL,5,5,Software Engineering Lab,1.5
NULL,5,5,Intellectual Property Rights,0
NULL,5,5,Artificial Intelligence,0
NULL,5,5,Computer Networks,3
NULL,5,5,Professional Elective-I,3
NULL,5,5,Professional Elective -II,3
NULL,5,5,Formal Languages & Automata Theory,3
NULL,5,5,Software Engineering,3
NULL,5,5,Web Technologies,3
NULL,6,5,Compiler Design Lab,1.5
NULL,6,5,Machine Learning Lab,1.5
NULL,6,5,Professional Elective-III Lab,1
NULL,6,5,Cyber Security,0
NULL,6,5,Compiler Design,4
NULL,6,5,Design and Analysis of Algorithms,4
NULL,6,5,Machine Learning,4
NULL,6,5,Professional Elective – III,3
NULL,6,5,Open Elective-I,3
NULL,7,5,Cryptography & Network Security,3
NULL,7,5,Data Mining,2
NULL,7,5,Professional Elective -IV,3
NULL,7,5,Professional Elective -V,3
NULL,7,5,Open Elective - II,3
NULL,7,5,Cryptography & Network Security Lab,1
NULL,7,5,Industrial Oriented Mini Project/ Summer Internship,2
NULL,7,5,Seminar,1
NULL,7,5,Project Stage - I,3
NULL,8,5,Organizational Behaviour,3
NULL,8,5,Professional Elective - VI,3
NULL,8,5,Open Elective - III,3
NULL,8,5,Project Stage - II,7
